"pop" "num_TP" "pop_type" "out" "max_coexist_length" "begin" "end"
"1" 101 8 "wt" 1 2673 297 2970
"2" 102 9 "del_mutL_srlD" 1 2673 297 2970
"3" 103 9 "del_araBAD" 0 2673 297 2970
"4" 104 9 "del_mutL" 1 2673 297 2970
"5" 105 8 "del_srlD" 0 2673 297 2970
"6" 106 9 "del_mutL_araBAD" 1 2673 297 2970
"7" 107 9 "del_mutL_srlD" 1 2673 297 2970
"8" 108 8 "del_araBAD" 1 1650 1320 2970
"9" 109 9 "del_mutL" 1 2673 297 2970
"10" 110 9 "del_srlD" 0 2673 297 2970
"11" 111 9 "del_mutL_araBAD" 1 2673 297 2970
"12" 112 7 "wt" -1 0 0 0
"13" 113 8 "wt" 1 2310 660 2970
"14" 114 8 "del_mutL_srlD" 1 2343 297 2640
"15" 115 9 "del_araBAD" 0 1980 990 2970
"16" 116 9 "del_mutL" 1 1320 1650 2970
"17" 117 8 "del_srlD" 0 0 0 0
"18" 118 8 "del_mutL_araBAD" 1 2343 297 2640
"19" 119 9 "del_mutL_srlD" 0 2673 297 2970
"20" 120 9 "del_araBAD" 1 2673 297 2970
"21" 121 8 "del_mutL" 1 2673 297 2970
"22" 122 3 "del_srlD" -1 0 0 0
"23" 123 9 "del_mutL_araBAD" 1 2673 297 2970
"24" 124 8 "wt" -1 0 0 0
"25" 201 9 "wt" 1 10692 1188 11880
"26" 202 9 "del_mutL_srlD" 1 10692 1188 11880
"27" 203 9 "del_araBAD" 0 6600 5280 11880
"28" 204 9 "del_mutL" 0 0 0 0
"29" 205 9 "del_srlD" 0 0 0 0
"30" 206 9 "del_mutL_araBAD" 0 0 0 0
"31" 207 9 "del_mutL_srlD" 1 10692 1188 11880
"32" 208 0 "del_araBAD" -1 NA NA NA
"33" 209 9 "del_mutL" 0 0 0 0
"34" 210 9 "del_srlD" 1 10692 1188 11880
"35" 211 7 "del_mutL_araBAD" 1 10692 1188 11880
"36" 212 9 "wt" 1 10692 1188 11880
"37" 213 8 "wt" 0 0 0 0
"38" 214 9 "del_mutL_srlD" 1 10692 1188 11880
"39" 215 9 "del_araBAD" -1 0 0 0
"40" 216 9 "del_mutL" 1 10692 1188 11880
"41" 217 8 "del_srlD" 1 10692 1188 11880
"42" 218 8 "del_mutL_araBAD" 1 10692 1188 11880
"43" 219 8 "del_mutL_srlD" 1 10692 1188 11880
"44" 220 8 "del_araBAD" 1 10692 1188 11880
"45" 221 9 "del_mutL" 1 7920 3960 11880
"46" 222 8 "del_srlD" 1 9372 1188 10560
"47" 223 8 "del_mutL_araBAD" 1 10692 1188 11880
"48" 224 0 "wt" -1 NA NA NA
"49" 301 9 "wt" 0 0 0 0
"50" 302 9 "del_mutL_srlD" 1 11780 2079 13859
"51" 303 9 "del_araBAD" 1 4619 9240 13859
"52" 304 8 "del_mutL" 0 6930 13859 20789
"53" 305 6 "del_srlD" 0 11549 9240 20789
"54" 306 9 "del_mutL_araBAD" 0 18710 2079 20789
"55" 307 2 "del_mutL_srlD" -1 0 0 0
"56" 308 9 "del_araBAD" 1 11549 9240 20789
"57" 309 9 "del_mutL" 1 4620 16169 20789
"58" 310 7 "del_srlD" 0 0 0 0
"59" 311 8 "del_mutL_araBAD" 1 18710 2079 20789
"60" 312 8 "wt" 1 2311 16169 18480
"61" 313 9 "wt" 1 9240 11549 20789
"62" 314 8 "del_mutL_srlD" 1 11549 9240 20789
"63" 315 9 "del_araBAD" 1 11780 2079 13859
"64" 316 9 "del_mutL" 1 11780 2079 13859
"65" 317 8 "del_srlD" 0 4619 9240 13859
"66" 318 9 "del_mutL_araBAD" 1 9240 11549 20789
"67" 319 8 "del_mutL_srlD" 1 16169 4620 20789
"68" 320 9 "del_araBAD" 0 0 0 0
"69" 321 9 "del_mutL" 1 18710 2079 20789
"70" 322 8 "del_srlD" 1 0 0 0
"71" 323 8 "del_mutL_araBAD" 1 11780 2079 13859
"72" 324 9 "wt" 1 6931 11549 18480
"73" 401 9 "wt" 1 165 132 297
"74" 402 9 "del_mutL_srlD" 1 268 29 297
"75" 403 7 "del_araBAD" 1 132 165 297
"76" 404 9 "del_mutL" 1 268 29 297
"77" 405 8 "del_srlD" 1 268 29 297
"78" 406 9 "del_mutL_araBAD" 1 202 29 231
"79" 407 8 "del_mutL_srlD" 1 268 29 297
"80" 408 9 "del_araBAD" 1 198 99 297
"81" 409 8 "del_mutL" 1 268 29 297
"82" 410 8 "del_srlD" 0 268 29 297
"83" 411 9 "del_mutL_araBAD" 1 198 99 297
"84" 412 9 "wt" 0 0 0 0
"85" 413 8 "wt" 0 132 165 297
"86" 414 9 "del_mutL_srlD" 1 268 29 297
"87" 415 9 "del_araBAD" 1 165 132 297
"88" 416 9 "del_mutL" 0 202 29 231
"89" 417 9 "del_srlD" 1 198 99 297
"90" 418 9 "del_mutL_araBAD" 1 268 29 297
"91" 419 8 "del_mutL_srlD" 1 198 66 264
"92" 420 9 "del_araBAD" 1 165 132 297
"93" 421 8 "del_mutL" 1 136 29 165
"94" 422 9 "del_srlD" -1 0 0 0
"95" 423 9 "del_mutL_araBAD" 1 99 198 297
"96" 424 9 "wt" 1 132 165 297
"97" 501 7 "wt" -1 0 0 0
"98" 502 7 "del_mutL_srlD" 1 125 100 225
"99" 503 8 "del_araBAD" 0 128 22 150
"100" 504 8 "del_mutL" 0 0 0 0
"101" 505 8 "del_srlD" -1 0 0 0
"102" 506 8 "del_mutL_araBAD" 1 25 75 100
"103" 507 5 "del_mutL_srlD" 0 128 22 150
"104" 508 7 "del_araBAD" -1 0 0 0
"105" 509 8 "del_mutL" -1 0 0 0
"106" 510 8 "del_srlD" 0 0 0 0
"107" 511 6 "del_mutL_araBAD" 0 0 0 0
"108" 512 7 "wt" 0 0 0 0
"109" 513 7 "wt" 0 0 0 0
"110" 514 8 "del_mutL_srlD" 0 0 0 0
"111" 515 8 "del_araBAD" 0 0 0 0
"112" 516 8 "del_mutL" 0 0 0 0
"113" 517 8 "del_srlD" -1 0 0 0
"114" 518 8 "del_mutL_araBAD" -1 0 0 0
"115" 519 8 "del_mutL_srlD" 0 0 0 0
"116" 520 8 "del_araBAD" 0 53 22 75
"117" 521 7 "del_mutL" 1 125 75 200
"118" 522 8 "del_srlD" -1 0 0 0
"119" 523 8 "del_mutL_araBAD" 0 0 0 0
"120" 524 7 "wt" -1 0 0 0
