"pop" "pop_type" "day" "num_fixed_basal" "num_fixed_major_minor" "ratio"
"500" 101 "wt" 300 0 11 0
"538" 101 "wt" 400 0 20 0
"580" 101 "wt" 500 0 107 0
"670" 101 "wt" 700 0 81 0
"379" 101 "wt" 800 1 264 0.00377358490566038
"434" 101 "wt" 900 8 117 0.064
"487" 102 "del_mutL_srlD" 300 0 35 0
"154" 102 "del_mutL_srlD" 400 1 25 0.0384615384615385
"213" 102 "del_mutL_srlD" 500 1 43 0.0227272727272727
"615" 102 "del_mutL_srlD" 600 0 38 0
"303" 102 "del_mutL_srlD" 700 1 102 0.00970873786407767
"358" 102 "del_mutL_srlD" 800 9 168 0.0508474576271186
"415" 102 "del_mutL_srlD" 900 44 112 0.282051282051282
"1" 103 "del_araBAD" 200 1 0 1
"465" 103 "del_araBAD" 300 0 2 0
"504" 103 "del_araBAD" 400 0 4 0
"584" 103 "del_araBAD" 600 0 1 0
"636" 103 "del_araBAD" 700 0 6 0
"322" 103 "del_araBAD" 800 2 13 0.133333333333333
"389" 103 "del_araBAD" 900 5 11 0.3125
"89" 104 "del_mutL" 300 2 36 0.0526315789473684
"508" 104 "del_mutL" 400 0 7 0
"552" 104 "del_mutL" 500 0 39 0
"595" 104 "del_mutL" 600 0 72 0
"280" 104 "del_mutL" 700 1 158 0.00628930817610063
"330" 104 "del_mutL" 800 5 225 0.0217391304347826
"395" 104 "del_mutL" 900 28 132 0.175
"494" 105 "del_srlD" 300 0 2 0
"220" 105 "del_srlD" 500 1 20 0.0476190476190476
"252" 105 "del_srlD" 600 2 19 0.0952380952380952
"661" 105 "del_srlD" 700 0 32 0
"703" 105 "del_srlD" 800 0 22 0
"741" 105 "del_srlD" 900 0 188 0
"22" 106 "del_mutL_araBAD" 200 3 0 1
"478" 106 "del_mutL_araBAD" 300 0 30 0
"516" 106 "del_mutL_araBAD" 400 0 27 0
"558" 106 "del_mutL_araBAD" 500 0 63 0
"604" 106 "del_mutL_araBAD" 600 0 33 0
"290" 106 "del_mutL_araBAD" 700 2 30 0.0625
"345" 106 "del_mutL_araBAD" 800 16 81 0.164948453608247
"403" 106 "del_mutL_araBAD" 900 7 51 0.120689655172414
"488" 107 "del_mutL_srlD" 300 0 27 0
"525" 107 "del_mutL_srlD" 400 0 4 0
"566" 107 "del_mutL_srlD" 500 0 15 0
"616" 107 "del_mutL_srlD" 600 0 1 0
"655" 107 "del_mutL_srlD" 700 0 127 0
"698" 107 "del_mutL_srlD" 800 0 132 0
"416" 107 "del_mutL_srlD" 900 15 165 0.0833333333333333
"2" 108 "del_araBAD" 200 2 0 1
"585" 108 "del_araBAD" 600 0 4 0
"637" 108 "del_araBAD" 700 0 7 0
"677" 108 "del_araBAD" 800 0 3 0
"720" 108 "del_araBAD" 900 0 4 0
"469" 109 "del_mutL" 300 0 17 0
"509" 109 "del_mutL" 400 0 23 0
"553" 109 "del_mutL" 500 0 37 0
"596" 109 "del_mutL" 600 0 72 0
"647" 109 "del_mutL" 700 0 203 0
"331" 109 "del_mutL" 800 5 308 0.0159744408945687
"396" 109 "del_mutL" 900 13 229 0.0537190082644628
