pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
101	wt	8	1	1650	synonymous	337	1950	121	609
101	wt	8	1	1650	nonsynonymous	982	1950	357	609
101	wt	8	1	1650	nonsense	37	1950	14	609
101	wt	8	1	1650	noncoding	22	1950	3	609
101	wt	8	1	1650	pseudogene	109	1950	21	609
101	wt	8	1	1650	intergenic	348	1950	77	609
101	wt	8	1	1650	indel	81	1950	11	609
101	wt	8	1	1650	sv	34	1950	5	609
102	del_mutL_srlD	9	1	330	synonymous	564	2631	114	579
102	del_mutL_srlD	9	1	330	nonsynonymous	1177	2631	288	579
102	del_mutL_srlD	9	1	330	nonsense	66	2631	11	579
102	del_mutL_srlD	9	1	330	noncoding	15	2631	2	579
102	del_mutL_srlD	9	1	330	pseudogene	254	2631	49	579
102	del_mutL_srlD	9	1	330	intergenic	438	2631	70	579
102	del_mutL_srlD	9	1	330	indel	91	2631	40	579
102	del_mutL_srlD	9	1	330	sv	26	2631	5	579
103	del_araBAD	9	0	0	synonymous	124	732	0	45
103	del_araBAD	9	0	0	nonsynonymous	278	732	11	45
103	del_araBAD	9	0	0	nonsense	24	732	2	45
103	del_araBAD	9	0	0	noncoding	4	732	0	45
103	del_araBAD	9	0	0	pseudogene	44	732	0	45
103	del_araBAD	9	0	0	intergenic	149	732	9	45
103	del_araBAD	9	0	0	indel	37	732	3	45
103	del_araBAD	9	0	0	sv	72	732	20	45
104	del_mutL	9	1	2310	synonymous	451	2402	159	705
104	del_mutL	9	1	2310	nonsynonymous	1302	2402	384	705
104	del_mutL	9	1	2310	nonsense	46	2402	10	705
104	del_mutL	9	1	2310	noncoding	21	2402	2	705
104	del_mutL	9	1	2310	pseudogene	107	2402	22	705
104	del_mutL	9	1	2310	intergenic	371	2402	86	705
104	del_mutL	9	1	2310	indel	79	2402	36	705
104	del_mutL	9	1	2310	sv	25	2402	6	705
105	del_srlD	8	0	0	synonymous	144	837	70	286
105	del_srlD	8	0	0	nonsynonymous	204	837	34	286
105	del_srlD	8	0	0	nonsense	20	837	3	286
105	del_srlD	8	0	0	noncoding	6	837	0	286
105	del_srlD	8	0	0	pseudogene	206	837	122	286
105	del_srlD	8	0	0	intergenic	162	837	44	286
105	del_srlD	8	0	0	indel	33	837	3	286
105	del_srlD	8	0	0	sv	62	837	10	286
106	del_mutL_araBAD	9	1	2310	synonymous	511	2138	83	343
106	del_mutL_araBAD	9	1	2310	nonsynonymous	970	2138	188	343
106	del_mutL_araBAD	9	1	2310	nonsense	38	2138	8	343
106	del_mutL_araBAD	9	1	2310	noncoding	20	2138	0	343
106	del_mutL_araBAD	9	1	2310	pseudogene	121	2138	6	343
106	del_mutL_araBAD	9	1	2310	intergenic	349	2138	37	343
106	del_mutL_araBAD	9	1	2310	indel	104	2138	14	343
106	del_mutL_araBAD	9	1	2310	sv	25	2138	7	343
107	del_mutL_srlD	9	1	1650	synonymous	548	2556	90	486
107	del_mutL_srlD	9	1	1650	nonsynonymous	1167	2556	276	486
107	del_mutL_srlD	9	1	1650	nonsense	51	2556	13	486
107	del_mutL_srlD	9	1	1650	noncoding	14	2556	1	486
107	del_mutL_srlD	9	1	1650	pseudogene	271	2556	45	486
107	del_mutL_srlD	9	1	1650	intergenic	396	2556	39	486
107	del_mutL_srlD	9	1	1650	indel	89	2556	19	486
107	del_mutL_srlD	9	1	1650	sv	20	2556	3	486
108	del_araBAD	8	1	1980	synonymous	177	1083	1	20
108	del_araBAD	8	1	1980	nonsynonymous	407	1083	3	20
108	del_araBAD	8	1	1980	nonsense	8	1083	1	20
108	del_araBAD	8	1	1980	noncoding	18	1083	0	20
108	del_araBAD	8	1	1980	pseudogene	66	1083	0	20
108	del_araBAD	8	1	1980	intergenic	320	1083	2	20
108	del_araBAD	8	1	1980	indel	31	1083	3	20
108	del_araBAD	8	1	1980	sv	56	1083	10	20
109	del_mutL	9	1	1980	synonymous	533	2792	176	907
109	del_mutL	9	1	1980	nonsynonymous	1485	2792	526	907
109	del_mutL	9	1	1980	nonsense	65	2792	20	907
109	del_mutL	9	1	1980	noncoding	23	2792	1	907
109	del_mutL	9	1	1980	pseudogene	156	2792	34	907
109	del_mutL	9	1	1980	intergenic	403	2792	118	907
109	del_mutL	9	1	1980	indel	104	2792	25	907
109	del_mutL	9	1	1980	sv	23	2792	7	907
110	del_srlD	9	0	0	synonymous	176	994	39	205
110	del_srlD	9	0	0	nonsynonymous	231	994	21	205
110	del_srlD	9	0	0	nonsense	23	994	4	205
110	del_srlD	9	0	0	noncoding	13	994	0	205
110	del_srlD	9	0	0	pseudogene	208	994	95	205
110	del_srlD	9	0	0	intergenic	259	994	25	205
110	del_srlD	9	0	0	indel	40	994	5	205
110	del_srlD	9	0	0	sv	44	994	16	205
111	del_mutL_araBAD	9	1	1320	synonymous	859	3614	96	436
111	del_mutL_araBAD	9	1	1320	nonsynonymous	1894	3614	255	436
111	del_mutL_araBAD	9	1	1320	nonsense	56	3614	6	436
111	del_mutL_araBAD	9	1	1320	noncoding	24	3614	1	436
111	del_mutL_araBAD	9	1	1320	pseudogene	158	3614	11	436
111	del_mutL_araBAD	9	1	1320	intergenic	477	3614	48	436
111	del_mutL_araBAD	9	1	1320	indel	109	3614	12	436
111	del_mutL_araBAD	9	1	1320	sv	37	3614	7	436
112	wt	7	-1	0	synonymous	80	456	0	0
112	wt	7	-1	0	nonsynonymous	138	456	0	0
112	wt	7	-1	0	nonsense	13	456	0	0
112	wt	7	-1	0	noncoding	5	456	0	0
112	wt	7	-1	0	pseudogene	45	456	0	0
112	wt	7	-1	0	intergenic	110	456	0	0
112	wt	7	-1	0	indel	12	456	0	0
112	wt	7	-1	0	sv	53	456	0	0
113	wt	8	1	1980	synonymous	373	1736	22	142
113	wt	8	1	1980	nonsynonymous	828	1736	79	142
113	wt	8	1	1980	nonsense	38	1736	3	142
