pop	pop_type	num_TP	out	coexist_length	mut_type	mut_count	total_mut_count	fixed_count	total_fixed_count
101	wt	8	1	1650	synonymous	337	1950	1	38
101	wt	8	1	1650	nonsynonymous	982	1950	1	38
101	wt	8	1	1650	nonsense	37	1950	0	38
101	wt	8	1	1650	noncoding	22	1950	0	38
101	wt	8	1	1650	pseudogene	109	1950	0	38
101	wt	8	1	1650	intergenic	348	1950	0	38
101	wt	8	1	1650	indel	81	1950	36	38
101	wt	8	1	1650	sv	34	1950	0	38
102	del_mutL_srlD	9	1	330	synonymous	564	2631	15	124
102	del_mutL_srlD	9	1	330	nonsynonymous	1177	2631	42	124
102	del_mutL_srlD	9	1	330	nonsense	66	2631	3	124
102	del_mutL_srlD	9	1	330	noncoding	15	2631	1	124
102	del_mutL_srlD	9	1	330	pseudogene	254	2631	2	124
102	del_mutL_srlD	9	1	330	intergenic	438	2631	19	124
102	del_mutL_srlD	9	1	330	indel	91	2631	41	124
102	del_mutL_srlD	9	1	330	sv	26	2631	1	124
103	del_araBAD	9	0	0	synonymous	124	732	0	26
103	del_araBAD	9	0	0	nonsynonymous	278	732	6	26
103	del_araBAD	9	0	0	nonsense	24	732	0	26
103	del_araBAD	9	0	0	noncoding	4	732	0	26
103	del_araBAD	9	0	0	pseudogene	44	732	0	26
103	del_araBAD	9	0	0	intergenic	149	732	2	26
103	del_araBAD	9	0	0	indel	37	732	2	26
103	del_araBAD	9	0	0	sv	72	732	16	26
104	del_mutL	9	1	2310	synonymous	451	2402	2	44
104	del_mutL	9	1	2310	nonsynonymous	1302	2402	7	44
104	del_mutL	9	1	2310	nonsense	46	2402	1	44
104	del_mutL	9	1	2310	noncoding	21	2402	0	44
104	del_mutL	9	1	2310	pseudogene	107	2402	0	44
104	del_mutL	9	1	2310	intergenic	371	2402	5	44
104	del_mutL	9	1	2310	indel	79	2402	29	44
104	del_mutL	9	1	2310	sv	25	2402	0	44
105	del_srlD	8	0	0	synonymous	144	837	0	8
105	del_srlD	8	0	0	nonsynonymous	204	837	1	8
105	del_srlD	8	0	0	nonsense	20	837	0	8
105	del_srlD	8	0	0	noncoding	6	837	0	8
105	del_srlD	8	0	0	pseudogene	206	837	0	8
105	del_srlD	8	0	0	intergenic	162	837	4	8
105	del_srlD	8	0	0	indel	33	837	0	8
105	del_srlD	8	0	0	sv	62	837	3	8
106	del_mutL_araBAD	9	1	2310	synonymous	511	2138	3	37
106	del_mutL_araBAD	9	1	2310	nonsynonymous	970	2138	13	37
106	del_mutL_araBAD	9	1	2310	nonsense	38	2138	0	37
106	del_mutL_araBAD	9	1	2310	noncoding	20	2138	0	37
106	del_mutL_araBAD	9	1	2310	pseudogene	121	2138	0	37
106	del_mutL_araBAD	9	1	2310	intergenic	349	2138	1	37
106	del_mutL_araBAD	9	1	2310	indel	104	2138	20	37
106	del_mutL_araBAD	9	1	2310	sv	25	2138	0	37
107	del_mutL_srlD	9	1	1650	synonymous	548	2556	9	107
107	del_mutL_srlD	9	1	1650	nonsynonymous	1167	2556	35	107
107	del_mutL_srlD	9	1	1650	nonsense	51	2556	3	107
107	del_mutL_srlD	9	1	1650	noncoding	14	2556	0	107
107	del_mutL_srlD	9	1	1650	pseudogene	271	2556	3	107
107	del_mutL_srlD	9	1	1650	intergenic	396	2556	13	107
107	del_mutL_srlD	9	1	1650	indel	89	2556	43	107
107	del_mutL_srlD	9	1	1650	sv	20	2556	1	107
108	del_araBAD	8	1	1980	synonymous	177	1083	0	4
108	del_araBAD	8	1	1980	nonsynonymous	407	1083	0	4
108	del_araBAD	8	1	1980	nonsense	8	1083	0	4
108	del_araBAD	8	1	1980	noncoding	18	1083	0	4
108	del_araBAD	8	1	1980	pseudogene	66	1083	0	4
108	del_araBAD	8	1	1980	intergenic	320	1083	0	4
108	del_araBAD	8	1	1980	indel	31	1083	4	4
108	del_araBAD	8	1	1980	sv	56	1083	0	4
109	del_mutL	9	1	1980	synonymous	533	2792	0	23
109	del_mutL	9	1	1980	nonsynonymous	1485	2792	2	23
109	del_mutL	9	1	1980	nonsense	65	2792	0	23
109	del_mutL	9	1	1980	noncoding	23	2792	0	23
109	del_mutL	9	1	1980	pseudogene	156	2792	0	23
109	del_mutL	9	1	1980	intergenic	403	2792	4	23
109	del_mutL	9	1	1980	indel	104	2792	17	23
109	del_mutL	9	1	1980	sv	23	2792	0	23
110	del_srlD	9	0	0	synonymous	176	994	22	80
110	del_srlD	9	0	0	nonsynonymous	231	994	7	80
110	del_srlD	9	0	0	nonsense	23	994	2	80
110	del_srlD	9	0	0	noncoding	13	994	0	80
110	del_srlD	9	0	0	pseudogene	208	994	38	80
110	del_srlD	9	0	0	intergenic	259	994	2	80
110	del_srlD	9	0	0	indel	40	994	2	80
110	del_srlD	9	0	0	sv	44	994	7	80
111	del_mutL_araBAD	9	1	1320	synonymous	859	3614	1	24
111	del_mutL_araBAD	9	1	1320	nonsynonymous	1894	3614	2	24
111	del_mutL_araBAD	9	1	1320	nonsense	56	3614	0	24
111	del_mutL_araBAD	9	1	1320	noncoding	24	3614	0	24
111	del_mutL_araBAD	9	1	1320	pseudogene	158	3614	0	24
111	del_mutL_araBAD	9	1	1320	intergenic	477	3614	0	24
111	del_mutL_araBAD	9	1	1320	indel	109	3614	21	24
111	del_mutL_araBAD	9	1	1320	sv	37	3614	0	24
112	wt	7	-1	0	synonymous	80	456	0	0
112	wt	7	-1	0	nonsynonymous	138	456	0	0
112	wt	7	-1	0	nonsense	13	456	0	0
112	wt	7	-1	0	noncoding	5	456	0	0
112	wt	7	-1	0	pseudogene	45	456	0	0
112	wt	7	-1	0	intergenic	110	456	0	0
112	wt	7	-1	0	indel	12	456	0	0
112	wt	7	-1	0	sv	53	456	0	0
113	wt	8	1	1980	synonymous	373	1736	0	15
113	wt	8	1	1980	nonsynonymous	828	1736	1	15
113	wt	8	1	1980	nonsense	38	1736	0	15
113	wt	8	1	1980	noncoding	16	1736	0	15
113	wt	8	1	1980	pseudogene	77	1736	0	15
113	wt	8	1	1980	intergenic	276	1736	0	15
113	wt	8	1	1980	indel	92	1736	14	15
113	wt	8	1	1980	sv	36	1736	0	15
114	del_mutL_srlD	8	1	990	synonymous	622	2521	2	33
114	del_mutL_srlD	8	1	990	nonsynonymous	1090	2521	0	33
114	del_mutL_srlD	8	1	990	nonsense	50	2521	0	33
114	del_mutL_srlD	8	1	990	noncoding	12	2521	0	33
114	del_mutL_srlD	8	1	990	pseudogene	244	2521	0	33
114	del_mutL_srlD	8	1	990	intergenic	383	2521	0	33
114	del_mutL_srlD	8	1	990	indel	100	2521	31	33
114	del_mutL_srlD	8	1	990	sv	20	2521	0	33
115	del_araBAD	9	0	0	synonymous	268	1319	7	43
115	del_araBAD	9	0	0	nonsynonymous	524	1319	18	43
115	del_araBAD	9	0	0	nonsense	33	1319	1	43
115	del_araBAD	9	0	0	noncoding	23	1319	0	43
115	del_araBAD	9	0	0	pseudogene	95	1319	1	43
115	del_araBAD	9	0	0	intergenic	269	1319	5	43
115	del_araBAD	9	0	0	indel	56	1319	3	43
115	del_araBAD	9	0	0	sv	51	1319	8	43
116	del_mutL	9	1	330	synonymous	972	3640	0	0
116	del_mutL	9	1	330	nonsynonymous	1680	3640	0	0
116	del_mutL	9	1	330	nonsense	77	3640	0	0
116	del_mutL	9	1	330	noncoding	28	3640	0	0
116	del_mutL	9	1	330	pseudogene	271	3640	0	0
116	del_mutL	9	1	330	intergenic	452	3640	0	0
116	del_mutL	9	1	330	indel	109	3640	0	0
116	del_mutL	9	1	330	sv	51	3640	0	0
117	del_srlD	8	0	0	synonymous	234	1005	11	18
117	del_srlD	8	0	0	nonsynonymous	239	1005	2	18
117	del_srlD	8	0	0	nonsense	12	1005	1	18
117	del_srlD	8	0	0	noncoding	24	1005	0	18
117	del_srlD	8	0	0	pseudogene	178	1005	0	18
117	del_srlD	8	0	0	intergenic	207	1005	0	18
117	del_srlD	8	0	0	indel	32	1005	0	18
117	del_srlD	8	0	0	sv	79	1005	4	18
118	del_mutL_araBAD	8	1	1980	synonymous	519	2438	0	16
118	del_mutL_araBAD	8	1	1980	nonsynonymous	1237	2438	0	16
118	del_mutL_araBAD	8	1	1980	nonsense	52	2438	0	16
118	del_mutL_araBAD	8	1	1980	noncoding	18	2438	0	16
118	del_mutL_araBAD	8	1	1980	pseudogene	118	2438	0	16
118	del_mutL_araBAD	8	1	1980	intergenic	394	2438	0	16
118	del_mutL_araBAD	8	1	1980	indel	76	2438	16	16
118	del_mutL_araBAD	8	1	1980	sv	24	2438	0	16
119	del_mutL_srlD	9	0	0	synonymous	594	2915	59	385
119	del_mutL_srlD	9	0	0	nonsynonymous	1359	2915	232	385
119	del_mutL_srlD	9	0	0	nonsense	68	2915	7	385
119	del_mutL_srlD	9	0	0	noncoding	46	2915	1	385
119	del_mutL_srlD	9	0	0	pseudogene	261	2915	7	385
119	del_mutL_srlD	9	0	0	intergenic	463	2915	40	385
119	del_mutL_srlD	9	0	0	indel	107	2915	35	385
119	del_mutL_srlD	9	0	0	sv	17	2915	4	385
120	del_araBAD	9	1	1650	synonymous	148	794	0	3
