pop	pop_type	num_TP	out	coexist_length	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
101	wt	8	1	1650	86	1	250	222	1	759	97	0	251	117	0	59	62	4	95	0	0	291	2	197	158	11	323	0	0	138	0	39	38	0	133	0	0
102	del_mutL_srlD	9	1	330	335	15	214	709	42	426	341	19	78	329	6	52	56	2	119	0	0	690	11	180	97	2	197	0	0	329	3	37	30	2	37	0	0
103	del_araBAD	9	0	0	103	0	21	212	2	64	133	1	15	102	0	0	0	0	22	0	0	212	2	4	5	0	55	0	0	132	0	2	7	2	6	0	0
104	del_mutL	9	1	2310	235	2	214	772	7	523	243	5	123	232	2	71	86	0	60	0	0	768	4	151	229	0	150	0	0	245	0	41	45	1	39	0	0
105	del_srlD	8	0	0	53	0	91	137	0	67	99	1	62	55	0	0	70	0	19	0	0	138	0	1	33	6	26	0	0	99	1	3	40	2	17	0	0
106	del_mutL_araBAD	9	1	2310	284	3	224	557	13	400	261	1	87	284	3	41	39	0	144	0	0	557	12	83	93	1	224	0	0	261	1	15	21	0	51	0	0
107	del_mutL_srlD	9	1	1650	351	9	188	761	35	371	314	13	69	346	0	59	31	1	111	0	0	758	0	228	48	2	131	0	0	315	0	31	8	4	38	0	0
108	del_araBAD	8	1	1980	90	0	87	127	0	280	94	0	226	90	0	1	0	0	86	0	0	123	0	3	0	1	280	0	0	91	0	2	0	1	226	0	0
109	del_mutL	9	1	1980	223	0	310	628	2	855	144	4	255	242	0	57	119	0	115	0	0	636	1	204	321	0	323	0	0	151	1	41	76	1	133	0	0
110	del_srlD	9	0	0	78	4	94	138	0	93	201	0	58	78	0	22	17	0	59	0	0	138	0	7	14	0	72	0	0	201	0	2	23	0	33	0	0
111	del_mutL_araBAD	9	1	1320	435	1	423	978	2	914	293	0	184	434	0	90	6	1	328	0	0	977	0	238	17	3	659	0	0	294	0	47	1	1	134	0	0
112	wt	7	-1	0	33	0	47	54	0	84	79	0	31	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
113	wt	8	1	1980	188	0	185	387	1	440	202	0	74	188	3	10	9	0	163	0	0	387	11	24	44	0	362	0	0	202	4	4	7	0	59	0	0
114	del_mutL_srlD	8	1	990	290	2	330	537	0	553	180	0	203	274	2	52	72	1	221	0	0	525	0	101	105	0	359	0	0	167	0	17	36	0	163	0	0
115	del_araBAD	9	0	0	130	0	138	254	1	269	193	0	76	130	0	7	14	0	117	0	0	253	1	17	38	2	213	0	0	193	0	5	7	1	63	0	0
116	del_mutL	9	1	330	879	0	93	1589	0	91	408	0	44	736	0	0	142	2	92	0	0	1306	0	1	283	5	85	0	0	343	0	0	67	0	42	0	0
117	del_srlD	8	0	0	103	0	131	75	0	164	50	0	157	103	0	11	71	0	49	0	0	75	0	2	92	1	69	0	0	50	0	0	93	1	63	0	0
118	del_mutL_araBAD	8	1	1980	258	0	261	585	0	652	193	0	201	257	0	93	25	0	144	0	0	585	0	262	60	4	326	0	0	192	0	47	12	1	142	0	0
119	del_mutL_srlD	9	0	0	325	4	265	729	12	618	311	0	152	321	1	58	116	7	91	0	0	730	7	225	199	15	183	0	0	311	0	40	80	1	31	0	0
120	del_araBAD	9	1	1650	111	0	37	101	0	114	135	0	84	111	0	0	14	0	23	0	0	101	0	3	12	1	98	0	0	135	0	2	7	0	75	0	0
121	del_mutL	8	1	2310	448	0	325	866	1	787	225	1	189	438	0	27	0	0	308	0	0	851	0	71	0	1	731	0	0	222	1	12	0	0	180	0	0
122	del_srlD	3	-1	0	0	0	243	0	0	461	0	0	135	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
123	del_mutL_araBAD	9	1	1980	392	1	318	817	0	960	256	0	209	383	0	64	67	2	195	0	0	808	0	251	253	9	456	0	0	254	0	48	53	1	109	0	0
