pop	pop_type	num_TP	out	coexist_length	mutate_TP	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
101	wt	8	1	1650	297	27	0	0	63	0	3	8	0	1	19	0	0	0	0	0	0	0	45	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0
101	wt	8	1	1650	660	2	0	4	6	0	13	7	0	5	2	0	2	0	3	0	0	0	6	1	7	4	5	1	0	0	8	0	0	4	0	3	0	0
101	wt	8	1	1650	990	3	0	10	9	0	19	3	0	8	3	0	2	9	0	0	0	0	9	0	10	7	1	1	0	0	3	0	1	6	0	0	0	0
101	wt	8	1	1650	1320	9	0	36	29	0	94	7	0	21	9	0	13	21	0	1	0	0	29	0	48	46	1	0	0	0	8	0	13	7	0	1	0	0
101	wt	8	1	1650	1650	38	0	40	105	0	106	68	0	19	38	0	25	13	0	1	0	0	105	0	75	26	1	1	0	0	68	0	12	7	0	0	0	0
101	wt	8	1	1650	2310	7	1	9	10	1	33	4	0	9	7	0	13	6	0	3	0	0	10	0	41	31	0	5	0	0	5	0	10	6	0	1	0	0
101	wt	8	1	1650	2640	0	0	102	0	0	272	0	0	81	39	0	4	13	1	33	0	0	87	1	16	44	2	78	0	0	44	0	3	8	0	17	0	0
101	wt	8	1	1650	2970	0	0	49	0	0	219	0	0	107	0	0	0	0	0	57	0	0	0	0	0	0	0	237	0	0	0	0	0	0	0	111	0	0
102	del_mutL_srlD	9	1	330	297	1	0	16	4	0	3	3	1	1	1	0	0	0	0	11	0	0	3	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0
102	del_mutL_srlD	9	1	330	660	32	4	19	81	11	22	46	4	8	31	3	7	5	2	8	0	0	80	7	17	14	1	1	0	0	46	2	3	5	2	3	0	0
102	del_mutL_srlD	9	1	330	990	30	7	13	64	7	20	22	2	8	30	3	13	3	0	1	0	0	59	2	19	8	1	0	0	0	28	1	6	3	0	0	0	0
102	del_mutL_srlD	9	1	330	1320	25	0	9	41	1	34	10	4	6	22	0	5	8	0	0	0	0	36	0	27	12	0	1	0	0	10	0	7	3	0	0	0	0
102	del_mutL_srlD	9	1	330	1650	46	0	24	113	2	37	84	1	4	45	0	4	15	0	10	0	0	110	0	21	18	0	3	0	0	78	0	3	5	0	0	0	0
102	del_mutL_srlD	9	1	330	1980	109	0	25	226	0	20	63	0	4	108	0	0	18	0	7	0	0	223	0	0	21	0	1	0	0	58	0	0	9	0	0	0	0
102	del_mutL_srlD	9	1	330	2310	10	2	15	18	12	65	5	4	10	10	0	18	3	0	1	0	0	18	0	68	5	0	11	0	0	6	0	14	4	0	2	0	0
102	del_mutL_srlD	9	1	330	2640	82	2	24	162	9	84	108	3	13	82	0	5	4	0	12	0	0	161	2	28	19	0	37	0	0	101	0	4	1	0	8	0	0
102	del_mutL_srlD	9	1	330	2970	0	0	69	0	0	141	0	0	24	0	0	0	0	0	69	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	24	0	0
103	del_araBAD	9	0	0	297	30	0	0	75	1	0	15	0	2	21	0	0	0	0	0	0	0	50	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0
103	del_araBAD	9	0	0	660	6	0	0	5	1	0	11	1	0	6	0	0	0	0	0	0	0	6	1	0	0	0	0	0	0	17	0	1	1	1	0	0	0
103	del_araBAD	9	0	0	990	2	0	0	3	0	1	12	0	0	8	0	0	0	0	0	0	0	23	0	0	2	0	0	0	0	14	0	0	1	0	0	0	0
103	del_araBAD	9	0	0	1320	1	0	0	4	0	1	2	0	0	1	0	0	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0
103	del_araBAD	9	0	0	1650	25	0	0	45	0	4	38	0	1	27	0	0	0	0	0	0	0	49	0	0	1	0	0	0	0	33	0	0	0	0	0	0	0
103	del_araBAD	9	0	0	1980	1	0	0	17	0	1	10	0	4	1	0	0	0	0	0	0	0	16	0	4	1	0	0	0	0	10	0	0	5	0	0	0	0
103	del_araBAD	9	0	0	2310	19	0	0	15	0	0	5	0	0	19	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	4	0	1	0	0	0	0	0
103	del_araBAD	9	0	0	2640	19	0	0	48	0	4	40	0	1	19	0	0	0	0	0	0	0	48	0	0	0	0	4	0	0	40	0	0	0	0	1	0	0
103	del_araBAD	9	0	0	2970	0	0	21	0	0	53	0	0	7	0	0	0	0	0	22	0	0	0	0	0	0	0	51	0	0	0	0	0	0	1	5	0	0
104	del_mutL	9	1	2310	297	9	1	20	27	3	21	23	1	14	0	1	0	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	1	0	0	0	0	0
104	del_mutL	9	1	2310	660	21	0	20	73	1	33	18	1	11	24	0	27	12	0	0	0	0	78	1	38	13	0	2	0	0	24	0	14	2	0	8	0	0
104	del_mutL	9	1	2310	990	29	0	6	58	1	27	17	1	6	30	0	2	5	0	0	0	0	59	0	21	13	0	2	0	0	17	0	6	2	0	1	0	0
104	del_mutL	9	1	2310	1320	34	0	13	134	1	21	28	0	7	34	0	8	5	0	2	0	0	143	0	9	13	0	2	0	0	30	0	4	4	0	0	0	0
104	del_mutL	9	1	2310	1650	7	0	2	24	0	12	23	0	3	11	0	0	22	0	1	0	0	44	0	6	29	0	5	0	0	36	0	1	8	0	2	0	0
104	del_mutL	9	1	2310	1980	84	0	76	293	0	183	69	1	39	83	0	21	25	0	11	0	0	281	0	38	96	0	17	0	0	70	0	10	18	0	1	0	0
104	del_mutL	9	1	2310	2310	16	1	13	51	1	29	7	0	3	16	0	11	2	0	2	0	0	52	0	29	7	0	0	0	0	10	0	4	1	0	0	0	0
104	del_mutL	9	1	2310	2640	35	0	32	112	0	84	58	1	17	34	1	2	15	0	13	0	0	111	1	8	58	0	10	0	0	57	0	1	10	0	5	0	0
104	del_mutL	9	1	2310	2970	0	0	32	0	0	113	0	0	23	0	0	0	0	0	31	0	0	0	0	0	0	0	112	0	0	0	0	0	0	1	22	0	0
105	del_srlD	8	0	0	297	4	0	18	5	0	5	8	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
105	del_srlD	8	0	0	660	0	0	3	4	0	3	26	0	8	0	0	0	23	0	0	0	0	4	0	0	5	3	0	0	0	28	1	0	23	1	0	0	0
105	del_srlD	8	0	0	990	0	0	0	4	0	2	4	0	1	0	0	0	4	0	0	0	0	4	0	0	2	0	0	0	0	4	0	0	1	0	0	0	0
105	del_srlD	8	0	0	1650	0	0	9	4	0	8	2	0	0	0	0	0	7	0	0	0	0	4	0	0	5	3	0	0	0	2	0	0	0	1	0	0	0
105	del_srlD	8	0	0	1980	8	0	33	17	0	16	15	0	10	10	0	0	27	0	0	0	0	18	0	0	16	0	0	0	0	15	0	0	10	0	0	0	0
105	del_srlD	8	0	0	2310	33	0	8	77	0	2	23	0	0	37	0	0	8	0	0	0	0	78	0	0	1	0	0	0	0	28	0	0	1	0	0	0	0
105	del_srlD	8	0	0	2640	8	0	7	26	0	7	21	1	28	8	0	0	1	0	6	0	0	26	0	1	4	0	3	0	0	21	0	3	5	0	6	0	0
105	del_srlD	8	0	0	2970	0	0	13	0	0	24	0	0	11	0	0	0	0	0	13	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	11	0	0
106	del_mutL_araBAD	9	1	2310	297	22	3	4	71	11	7	21	1	3	2	3	0	0	0	0	0	0	10	9	0	0	1	0	0	0	1	1	0	0	0	0	0	0
106	del_mutL_araBAD	9	1	2310	660	27	0	12	35	2	16	31	0	7	28	0	14	2	0	0	0	0	38	1	20	5	0	0	0	0	33	0	5	2	0	4	0	0
106	del_mutL_araBAD	9	1	2310	990	19	0	9	45	0	13	24	0	8	20	0	9	2	0	0	0	0	48	1	9	8	0	0	0	0	24	0	5	2	0	0	0	0
106	del_mutL_araBAD	9	1	2310	1320	50	0	15	68	0	30	26	0	7	50	0	6	9	0	3	0	0	68	1	12	16	0	1	0	0	26	0	1	5	0	1	0	0
106	del_mutL_araBAD	9	1	2310	1650	52	0	27	100	0	56	69	0	6	52	0	9	12	0	3	0	0	100	0	35	15	0	5	0	0	69	0	1	5	0	1	0	0
106	del_mutL_araBAD	9	1	2310	1980	51	0	25	114	0	43	29	0	7	51	0	2	5	0	19	0	0	112	0	2	15	0	27	0	0	30	0	0	1	0	7	0	0
106	del_mutL_araBAD	9	1	2310	2310	8	0	3	18	0	8	3	0	1	27	0	0	5	0	3	0	0	74	0	1	24	0	5	0	0	21	0	2	4	0	0	0	0
106	del_mutL_araBAD	9	1	2310	2640	55	0	65	106	0	106	58	0	19	54	0	1	4	0	53	0	0	107	0	4	10	0	66	0	0	57	0	1	2	0	10	0	0
106	del_mutL_araBAD	9	1	2310	2970	0	0	64	0	0	121	0	0	29	0	0	0	0	0	63	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	28	0	0
107	del_mutL_srlD	9	1	1650	297	18	0	7	11	1	5	5	1	3	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
107	del_mutL_srlD	9	1	1650	660	29	4	21	57	7	48	77	0	1	30	0	14	1	0	17	0	0	58	0	57	7	0	5	0	0	79	0	3	1	0	1	0	0
107	del_mutL_srlD	9	1	1650	990	36	0	20	96	1	16	20	1	2	39	0	0	4	0	16	0	0	100	0	4	10	0	3	0	0	21	0	1	2	0	0	0	0
107	del_mutL_srlD	9	1	1650	1320	40	2	12	92	11	55	16	3	7	44	0	9	2	0	3	0	0	98	0	57	1	0	1	0	0	16	0	8	0	0	1	0	0
107	del_mutL_srlD	9	1	1650	1650	57	0	9	113	1	21	60	2	2	58	0	6	1	0	2	0	0	110	0	20	2	0	2	0	0	58	0	4	1	0	0	0	0
107	del_mutL_srlD	9	1	1650	1980	108	1	39	233	5	55	69	4	10	105	0	23	19	0	4	0	0	228	0	47	17	0	2	0	0	71	0	10	2	0	3	0	0
107	del_mutL_srlD	9	1	1650	2310	12	0	2	25	1	3	3	0	1	18	0	1	1	0	0	0	0	27	0	5	2	0	0	0	0	5	0	2	1	0	0	0	0
107	del_mutL_srlD	9	1	1650	2640	51	2	14	134	8	59	64	2	11	51	0	6	3	0	7	0	0	134	0	38	9	1	14	0	0	63	0	3	1	0	6	0	0
107	del_mutL_srlD	9	1	1650	2970	0	0	64	0	0	109	0	0	32	0	0	0	0	1	62	0	0	0	0	0	0	1	104	0	0	0	0	0	0	4	27	0	0
108	del_araBAD	8	1	1980	297	26	0	1	43	0	4	9	0	8	26	0	0	0	0	1	0	0	43	0	1	0	1	0	0	0	9	0	1	0	0	5	0	0
108	del_araBAD	8	1	1980	660	40	0	0	9	0	1	62	0	0	40	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0
108	del_araBAD	8	1	1980	990	0	0	1	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
108	del_araBAD	8	1	1980	1320	17	0	4	41	0	12	7	0	4	17	0	1	0	0	5	0	0	42	0	1	0	0	15	0	0	7	0	0	0	0	6	0	0
108	del_araBAD	8	1	1980	1980	5	0	3	17	0	4	13	0	6	5	0	0	0	0	5	0	0	17	0	1	0	0	3	0	0	13	0	1	0	0	5	0	0
108	del_araBAD	8	1	1980	2310	2	0	4	12	0	1	2	0	3	2	0	0	0	0	4	0	0	12	0	0	0	0	1	0	0	2	0	0	0	0	3	0	0
108	del_araBAD	8	1	1980	2640	0	0	23	0	0	32	0	0	60	0	0	0	0	0	20	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	60	0	0
108	del_araBAD	8	1	1980	2970	0	0	51	0	0	226	0	0	145	0	0	0	0	0	51	0	0	0	0	0	0	0	229	0	0	0	0	0	0	1	147	0	0
109	del_mutL	9	1	1980	297	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
109	del_mutL	9	1	1980	660	17	0	8	37	1	20	13	0	3	17	0	8	0	0	0	0	0	37	0	16	7	0	0	0	0	11	0	1	3	0	0	0	0
109	del_mutL	9	1	1980	990	28	0	18	40	0	39	14	1	11	28	0	9	12	0	0	0	0	41	0	31	9	0	1	0	0	13	0	7	6	0	0	0	0
109	del_mutL	9	1	1980	1320	13	0	12	24	0	29	8	0	12	13	0	1	10	0	0	0	0	24	0	4	23	0	0	0	0	8	0	3	9	0	0	0	0
109	del_mutL	9	1	1980	1650	58	0	23	194	0	59	55	0	6	59	0	5	21	0	1	0	0	194	0	37	27	0	2	0	0	55	0	4	2	0	0	0	0
109	del_mutL	9	1	1980	1980	104	0	77	312	0	165	53	0	32	122	0	15	44	0	2	0	0	320	0	70	105	0	6	0	0	63	0	8	23	0	3	0	0
109	del_mutL	9	1	1980	2310	3	0	6	19	1	18	1	0	5	3	0	11	18	0	0	0	0	19	0	24	78	0	4	0	0	1	0	11	19	0	1	0	0
109	del_mutL	9	1	1980	2640	0	0	114	1	0	388	0	3	158	0	0	8	14	0	61	0	0	0	1	22	72	0	176	0	0	0	1	7	14	0	102	0	0
109	del_mutL	9	1	1980	2970	0	0	52	0	0	136	0	0	28	0	0	0	0	0	51	0	0	0	0	0	0	0	134	0	0	0	0	0	0	0	27	0	0
110	del_srlD	9	0	0	297	0	0	11	2	0	3	1	0	0	0	0	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
110	del_srlD	9	0	0	660	6	0	8	7	0	4	18	0	6	6	0	11	0	0	5	0	0	7	0	5	1	0	1	0	0	19	0	1	2	0	3	0	0
110	del_srlD	9	0	0	990	4	0	0	6	0	0	5	0	1	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0
110	del_srlD	9	0	0	1320	6	0	1	9	0	2	6	0	0	6	0	1	0	0	0	0	0	9	0	1	2	0	0	0	0	6	0	0	0	0	0	0	0
110	del_srlD	9	0	0	1650	15	1	11	29	0	4	42	0	0	15	0	7	0	0	5	0	0	29	0	1	0	0	3	0	0	41	0	0	0	0	0	0	0
110	del_srlD	9	0	0	1980	13	2	32	17	0	19	43	0	8	13	0	2	9	0	23	0	0	18	0	0	8	0	12	0	0	43	0	0	1	0	7	0	0
110	del_srlD	9	0	0	2310	2	0	0	13	0	1	7	0	0	2	0	0	1	0	0	0	0	13	0	0	1	0	1	0	0	7	0	0	1	0	0	0	0
110	del_srlD	9	0	0	2640	32	1	17	55	0	9	79	0	23	32	0	1	7	0	9	0	0	55	0	0	2	0	4	0	0	79	0	0	19	0	3	0	0
110	del_srlD	9	0	0	2970	0	0	14	0	0	51	0	0	20	0	0	0	0	0	14	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	20	0	0
111	del_mutL_araBAD	9	1	1320	297	28	0	3	38	0	8	16	0	4	10	0	0	0	0	0	0	0	12	0	0	0	0	1	0	0	5	0	0	0	1	1	0	0
111	del_mutL_araBAD	9	1	1320	660	31	0	11	54	0	20	22	0	10	33	0	10	2	0	4	0	0	60	0	20	3	0	8	0	0	24	0	6	1	0	6	0	0
111	del_mutL_araBAD	9	1	1320	990	32	0	3	34	0	6	12	0	8	50	0	0	3	0	8	0	0	54	0	0	7	0	19	0	0	22	0	0	0	0	11	0	0
111	del_mutL_araBAD	9	1	1320	1320	4	0	12	10	0	29	5	0	6	4	0	0	0	0	12	0	0	10	0	0	0	0	27	0	0	5	0	0	0	0	6	0	0
