pop	pop_type	num_TP	out	TP	SE	SF	SP	NE	NF	NP	IE	IF	IP	S1	S2	S3	S4	S5	S6	S7	S8	N1	N2	N3	N4	N5	N6	N7	N8	I1	I2	I3	I4	I5	I6	I7	I8
101	wt	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
101	wt	8	1	297	0	0	27	0	0	66	0	0	9	0	0	0	0	19	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	2	0	0	0
101	wt	8	1	660	27	0	6	63	0	22	6	0	15	19	0	0	0	3	2	2	0	45	0	0	0	6	8	11	0	2	0	0	0	0	1	14	0
101	wt	8	1	990	29	0	17	69	0	44	10	0	22	21	0	1	0	3	6	9	0	51	0	2	4	7	20	14	0	6	0	0	4	0	5	12	0
101	wt	8	1	1320	32	0	59	78	0	158	13	0	47	24	0	3	5	3	24	25	0	61	0	7	8	7	89	50	0	9	0	0	8	0	24	15	0
101	wt	8	1	1650	41	0	128	106	0	341	24	0	123	33	0	9	23	3	73	20	0	88	0	34	47	8	214	38	0	21	0	7	15	0	89	11	0
101	wt	8	1	2310	79	0	107	212	0	279	93	0	67	71	0	22	25	3	41	28	0	194	0	75	59	9	121	59	0	91	0	15	15	0	27	17	0
101	wt	8	1	2640	86	1	201	222	1	540	97	0	144	78	0	54	43	4	43	58	0	204	0	178	110	12	105	135	1	93	0	35	29	0	24	54	0
101	wt	8	1	2970	86	1	250	222	1	759	97	0	251	117	0	59	62	4	95	0	0	291	2	197	158	11	323	0	0	138	0	39	38	0	133	0	0
102	del_mutL_srlD	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
102	del_mutL_srlD	9	1	297	0	0	17	0	0	7	0	0	5	0	0	0	0	12	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	2	0	0	0
102	del_mutL_srlD	9	1	660	1	0	71	3	0	118	3	0	60	12	0	0	0	5	22	29	0	6	0	0	0	8	43	69	0	2	0	0	0	4	14	43	0
102	del_mutL_srlD	9	1	990	27	0	95	57	0	155	40	0	55	27	0	1	3	8	56	12	0	57	0	6	14	11	75	49	0	39	0	1	3	5	32	21	0
102	del_mutL_srlD	9	1	1320	56	1	99	111	0	177	58	0	57	57	0	6	7	7	43	33	0	110	0	10	21	10	69	71	0	57	0	5	3	5	21	30	0
102	del_mutL_srlD	9	1	1650	69	2	155	133	1	306	65	0	139	69	1	10	15	6	57	68	0	131	0	21	32	10	88	160	0	65	0	8	6	4	23	101	0
102	del_mutL_srlD	9	1	1980	91	2	267	198	1	487	138	0	133	91	1	13	26	7	69	153	0	195	0	22	49	11	122	289	0	138	0	9	10	4	33	80	0
102	del_mutL_srlD	9	1	2310	169	2	216	410	3	368	201	0	89	162	1	16	41	7	92	73	0	397	1	52	63	10	166	101	0	194	0	12	14	4	41	34	0
102	del_mutL_srlD	9	1	2640	179	5	311	428	10	598	204	5	205	172	4	45	44	5	77	148	0	415	4	150	68	9	124	267	0	198	3	32	18	2	41	120	0
102	del_mutL_srlD	9	1	2970	335	15	214	709	42	426	341	19	78	329	6	52	56	2	119	0	0	690	11	180	97	2	197	0	0	329	3	37	30	2	37	0	0
103	del_araBAD	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
103	del_araBAD	9	0	297	0	0	30	0	0	76	0	0	17	0	0	0	0	21	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	12	0	0	0
103	del_araBAD	9	0	660	30	0	6	75	0	7	15	0	14	21	0	0	0	0	0	6	0	50	0	0	0	2	0	6	0	12	0	0	0	2	0	18	0
103	del_araBAD	9	0	990	36	0	2	80	0	6	19	0	22	27	0	0	0	0	0	8	0	55	0	0	0	2	0	26	0	16	0	0	0	2	0	29	0
103	del_araBAD	9	0	1320	38	0	1	82	0	9	31	0	12	35	0	0	0	0	0	1	0	78	0	0	2	2	0	6	0	31	0	0	1	2	0	15	0
103	del_araBAD	9	0	1650	39	0	25	86	0	54	34	0	48	36	0	0	0	0	0	27	0	82	0	0	2	2	0	52	0	35	0	0	1	4	0	42	0
103	del_araBAD	9	0	1980	64	0	1	131	0	27	76	0	20	63	0	0	0	0	1	0	0	131	0	0	3	3	12	10	0	77	0	0	1	2	4	12	0
103	del_araBAD	9	0	2310	65	0	19	146	0	27	85	0	16	64	0	0	0	0	1	18	0	145	0	4	3	2	2	19	0	85	0	0	1	1	3	11	0
103	del_araBAD	9	0	2640	84	0	19	161	1	63	88	1	53	83	0	0	0	0	19	0	0	161	1	4	4	1	52	4	0	88	0	2	1	1	42	9	0
103	del_araBAD	9	0	2970	103	0	21	212	2	64	133	1	15	102	0	0	0	0	22	0	0	212	2	4	5	0	55	0	0	132	0	2	7	2	6	0	0
104	del_mutL	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
104	del_mutL	9	1	297	0	0	30	0	0	51	0	0	38	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0	0
104	del_mutL	9	1	660	4	0	67	21	0	137	18	0	50	0	0	0	0	1	34	29	0	0	0	0	0	4	78	54	0	1	0	0	0	1	33	15	0
104	del_mutL	9	1	990	17	0	89	55	1	188	26	0	66	13	0	8	8	1	34	37	0	35	1	7	11	2	103	72	0	9	0	2	1	1	45	18	0
104	del_mutL	9	1	1320	40	0	113	100	1	299	37	0	90	38	0	8	10	1	57	36	0	81	1	7	15	1	192	100	0	20	0	2	2	1	63	26	0
104	del_mutL	9	1	1650	58	0	104	167	1	268	49	0	104	56	0	12	16	1	57	42	0	145	1	14	25	1	195	100	0	34	0	7	5	0	77	38	0
104	del_mutL	9	1	1980	68	0	254	201	1	710	79	0	183	70	0	17	37	1	134	65	0	199	1	21	54	1	417	221	0	76	0	7	13	0	104	59	0
104	del_mutL	9	1	2310	162	0	190	520	2	471	152	0	120	154	0	42	47	1	43	68	0	504	2	77	91	0	106	222	0	149	0	22	18	0	35	51	0
104	del_mutL	9	1	2640	178	2	239	570	4	615	159	0	189	170	1	68	67	1	32	81	0	555	2	142	153	1	52	284	1	159	0	40	30	0	18	101	0
104	del_mutL	9	1	2970	235	2	214	772	7	523	243	5	123	232	2	71	86	0	60	0	0	768	4	151	229	0	150	0	0	245	0	41	45	1	39	0	0
105	del_srlD	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
105	del_srlD	8	0	297	0	0	22	0	0	10	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	0
105	del_srlD	8	0	660	4	0	21	5	0	12	6	0	40	0	0	0	0	0	0	23	0	4	0	0	0	3	0	9	0	1	0	0	0	2	0	51	0
105	del_srlD	8	0	990	4	0	21	7	0	16	25	0	26	0	0	0	2	0	0	25	0	6	0	0	0	3	0	13	0	20	0	0	0	2	0	37	0
105	del_srlD	8	0	1650	4	0	30	12	0	23	37	0	16	0	0	0	7	0	0	27	0	11	0	0	0	6	0	17	0	32	0	0	0	3	0	27	0
105	del_srlD	8	0	1980	4	0	71	17	0	51	39	0	39	0	0	0	12	0	0	59	0	16	0	0	2	6	0	44	0	34	1	0	1	2	0	49	0
105	del_srlD	8	0	2310	12	0	104	33	0	114	52	0	49	8	0	0	23	0	0	85	0	32	0	0	9	7	0	99	0	47	1	0	1	2	0	65	0
105	del_srlD	8	0	2640	45	0	86	110	0	70	75	0	76	45	0	0	37	0	6	43	0	110	0	0	11	6	4	50	0	75	1	0	1	2	9	63	0
105	del_srlD	8	0	2970	53	0	91	137	0	67	99	1	62	55	0	0	70	0	19	0	0	138	0	1	33	6	26	0	0	99	1	3	40	2	17	0	0
106	del_mutL_araBAD	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
106	del_mutL_araBAD	9	1	297	0	0	29	0	0	89	0	0	25	0	0	0	0	5	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	2	0	0	0
106	del_mutL_araBAD	9	1	660	21	0	47	67	0	75	20	0	43	2	0	0	0	3	30	14	0	11	0	0	0	9	41	23	0	1	0	0	0	1	36	8	0
106	del_mutL_araBAD	9	1	990	33	0	63	78	0	122	40	0	55	14	0	6	2	3	28	27	0	21	0	11	5	10	45	57	0	20	0	5	0	1	25	26	0
106	del_mutL_araBAD	9	1	1320	53	0	108	138	0	160	66	0	62	35	0	17	2	3	53	38	0	83	0	20	6	12	76	51	0	47	0	7	0	1	37	18	0
106	del_mutL_araBAD	9	1	1650	93	0	147	185	0	269	89	0	113	75	0	25	12	3	21	88	0	131	0	32	25	11	59	145	0	71	0	9	7	1	15	83	0
106	del_mutL_araBAD	9	1	1980	144	0	172	274	0	337	160	0	79	126	0	27	20	3	78	47	0	217	0	35	40	11	170	85	1	142	0	9	10	1	36	26	0
